id	gene	phos	loc	timeline	group
#methods	fisher	fisher	fisher	no	no
#type	Categorical	Categorical	Categorical	null	null
#descriptions	gene name	WC_or_phos	leaf_or_stem	week	group
Z_AtADT4W_WC_L_2wk_KO	AtADT4W	WC	L	2	AtADT4W
Z_AtADT4W_WC_L_4wk_KO	AtADT4W	WC	L	4	AtADT4W
Z_AtADT4W_WC_L_6wk_KO	AtADT4W	WC	L	6	AtADT4W
Z_AtADT4W_WC_S_4wk_KO	AtADT4W	WC	S	4	AtADT4W
Z_AtADT4W_WC_S_6wk_KO	AtADT4W	WC	S	6	AtADT4W
Z_AtADT4W_WC_S_8wk_KO	AtADT4W	WC	S	8	AtADT4W
Z_AtADT4W_phos_L_2wk_KO	AtADT4W	phos	L	2	AtADT4W
Z_AtADT4W_phos_L_4wk_KO	AtADT4W	phos	L	4	AtADT4W
Z_AtADT4W_phos_L_6wk_KO	AtADT4W	phos	L	6	AtADT4W
Z_AtADT4W_phos_S_4wk_KO	AtADT4W	phos	S	4	AtADT4W
Z_AtADT4W_phos_S_6wk_KO	AtADT4W	phos	S	6	AtADT4W
Z_AtADT4W_phos_S_8wk_KO	AtADT4W	phos	S	8	AtADT4W
Z_AtADT4mW_WC_L_2wk_KO	AtADT4mW	WC	L	2	AtADT4mW
Z_AtADT4mW_WC_L_4wk_KO	AtADT4mW	WC	L	4	AtADT4mW
Z_AtADT4mW_WC_L_6wk_KO	AtADT4mW	WC	L	6	AtADT4mW
Z_AtADT4mW_WC_S_4wk_KO	AtADT4mW	WC	S	4	AtADT4mW
Z_AtADT4mW_WC_S_6wk_KO	AtADT4mW	WC	S	6	AtADT4mW
Z_AtADT4mW_WC_S_8wk_KO	AtADT4mW	WC	S	8	AtADT4mW
Z_AtADT4mW_phos_L_2wk_KO	AtADT4mW	phos	L	2	AtADT4mW
Z_AtADT4mW_phos_L_4wk_KO	AtADT4mW	phos	L	4	AtADT4mW
Z_AtADT4mW_phos_L_6wk_KO	AtADT4mW	phos	L	6	AtADT4mW
Z_AtADT4mW_phos_S_4wk_KO	AtADT4mW	phos	S	4	AtADT4mW
Z_AtADT4mW_phos_S_6wk_KO	AtADT4mW	phos	S	6	AtADT4mW
Z_AtADT4mW_phos_S_8wk_KO	AtADT4mW	phos	S	8	AtADT4mW
Z_AtADT5W_WC_L_2wk_KO	AtADT5W	WC	L	2	AtADT5W
Z_AtADT5W_WC_L_4wk_KO	AtADT5W	WC	L	4	AtADT5W
Z_AtADT5W_WC_L_6wk_KO	AtADT5W	WC	L	6	AtADT5W
Z_AtADT5W_WC_S_4wk_KO	AtADT5W	WC	S	4	AtADT5W
Z_AtADT5W_WC_S_6wk_KO	AtADT5W	WC	S	6	AtADT5W
Z_AtADT5W_WC_S_8wk_KO	AtADT5W	WC	S	8	AtADT5W
Z_AtADT5W_phos_L_2wk_KO	AtADT5W	phos	L	2	AtADT5W
Z_AtADT5W_phos_L_4wk_KO	AtADT5W	phos	L	4	AtADT5W
Z_AtADT5W_phos_L_6wk_KO	AtADT5W	phos	L	6	AtADT5W
Z_AtADT5W_phos_S_4wk_KO	AtADT5W	phos	S	4	AtADT5W
Z_AtADT5W_phos_S_6wk_KO	AtADT5W	phos	S	6	AtADT5W
Z_AtADT5W_phos_S_8wk_KO	AtADT5W	phos	S	8	AtADT5W
Z_AtADT5mW_WC_L_2wk_KO	AtADT5mW	WC	L	2	AtADT5mW
Z_AtADT5mW_WC_L_4wk_KO	AtADT5mW	WC	L	4	AtADT5mW
Z_AtADT5mW_WC_L_6wk_KO	AtADT5mW	WC	L	6	AtADT5mW
Z_AtADT5mW_WC_S_4wk_KO	AtADT5mW	WC	S	4	AtADT5mW
Z_AtADT5mW_WC_S_6wk_KO	AtADT5mW	WC	S	6	AtADT5mW
Z_AtADT5mW_WC_S_8wk_KO	AtADT5mW	WC	S	8	AtADT5mW
Z_AtADT5mW_phos_L_2wk_KO	AtADT5mW	phos	L	2	AtADT5mW
